,SalePrice,SqFtTotLiving,ZipCode
3134,740000,1440.0,98107
3141,1692500,3050.0,98107
3143,1085000,1650.0,98107
3145,1005000,1780.0,98103
3148,566617,870.0,98107
3163,970000,1240.0,98117
3164,745000,1540.0,98117
3168,1275000,2230.0,98117
3169,870000,1290.0,98117
3170,999950,1630.0,98117
3171,973000,1900.0,98117
3172,740000,2210.0,98117
3174,680000,1300.0,98117
3177,881013,1890.0,98117
3178,577000,870.0,98117
3181,971000,1620.0,98117
3183,649000,1300.0,98117
3186,935000,1940.0,98117
3187,745000,1450.0,98117
3191,795000,1380.0,98117
3193,960000,2170.0,98117
3199,846000,2080.0,98117
3200,475000,1340.0,98117
3205,626667,1140.0,98117
3206,775000,1080.0,98117
3228,1256000,2390.0,98117
3230,1950000,3820.0,98117
3233,725000,1510.0,98107
3234,825000,1910.0,98107
3242,791000,1260.0,98107
3243,792000,1750.0,98107
3245,700000,1180.0,98107
3246,665000,1270.0,98107
3250,859950,1930.0,98107
3278,650000,1320.0,98107
3284,1025000,1930.0,98117
3285,1520000,2830.0,98117
3332,1150000,3190.0,98074
3335,1250000,3730.0,98103
3337,600000,1920.0,98103
3338,1300000,1330.0,98103
3339,1075000,1690.0,98103
3341,750000,920.0,98103
3343,908000,1380.0,98103
3346,1185000,2290.0,98103
3347,1305000,2350.0,98103
3348,677000,1180.0,98103
3351,730000,1060.0,98103
3352,1184000,1696.0,98103
3353,665000,900.0,98103
3355,1500000,2270.0,98105
3356,673000,830.0,98105
3365,559950,2824.0,98030
3395,475000,2390.0,98001
3401,455000,1380.0,98116
3404,885000,2070.0,98116
3405,864500,2000.0,98116
3407,535000,2200.0,98116
3408,850000,1560.0,98005
3410,1070000,1380.0,98005
3411,1125000,2670.0,98056
3413,1350000,3060.0,98056
3418,2925000,3550.0,98056
3420,2000000,3660.0,98056
3427,765000,1170.0,98109
3428,1080000,2860.0,98122
3429,940000,1530.0,98122
3441,534950,1880.0,98092
3450,765000,3240.0,98022
3455,577000,2000.0,98177
3456,615000,1610.0,98177
3459,580000,1870.0,98133
3460,585000,2050.0,98133
3461,359000,1390.0,98003
3465,315000,1600.0,98003
3467,485000,2480.0,98003
3469,975000,3190.0,98198
3471,1065000,6480.0,98003
3472,599950,1900.0,98092
3474,337000,1430.0,98092
3476,605000,2160.0,98092
3484,530000,1260.0,98070
3488,600000,2026.0,98070
3490,525000,1000.0,98070
3503,400000,1260.0,98031
3507,640000,884.0,98058
3508,640000,2380.0,98058
3512,345000,1650.0,98031
3513,310000,1540.0,98055
3514,485000,2730.0,98031
3515,515000,1630.0,98031
3517,449000,1420.0,98031
3521,595000,2380.0,98058
3524,551000,3350.0,98038
3525,868000,3767.0,98038
3528,820000,3550.0,98058
3529,939950,3380.0,98058
3534,360000,1110.0,98108
3535,625000,2340.0,98108
3539,434900,1560.0,98168
3548,465000,1400.0,98056
3558,615000,1900.0,98065
3562,1250000,1350.0,98004
3564,1050000,2150.0,98004
3567,875000,2980.0,98004
3569,2450000,3870.0,98004
3570,1875000,4460.0,98004
3572,1410000,2180.0,98004
3575,1200000,2390.0,98004
3576,4373150,7620.0,98004
3582,965000,2350.0,98075
3589,590000,1510.0,98115
3591,832500,1630.0,98115
3611,500000,1300.0,98011
3612,602000,1340.0,98011
3625,850000,2710.0,98052
3628,590000,1720.0,98117
3629,600000,1340.0,98117
3630,550000,720.0,98117
3631,515000,1310.0,98117
3632,535000,1280.0,98117
3633,555000,1270.0,98117
3634,525000,1280.0,98117
3636,690000,1020.0,98117
3637,400000,2080.0,98003
3640,395000,1910.0,98003
3642,409800,2070.0,98003
3643,271500,790.0,98003
3649,364000,1080.0,98003
3650,325500,1170.0,98003
3657,450000,1540.0,98038
3658,420000,2010.0,98038
3660,439000,2220.0,98038
3662,1497813,3020.0,98004
3665,3285000,4440.0,98004
3671,1019200,2310.0,98117
3675,625000,1200.0,98117
3676,550000,830.0,98117
3677,675000,1130.0,98117
3678,804000,1190.0,98117
3683,1549000,2450.0,98117
3684,1549000,360.0,98117
3685,1090000,2860.0,98117
3686,780000,1570.0,98117
3689,1600000,2090.0,98075
3692,1275000,3290.0,98115
3694,475000,1120.0,98108
3698,415000,1970.0,98178
3699,555000,2440.0,98178
3701,375000,1320.0,98178
3702,600000,3050.0,98022
3703,459990,1660.0,98022
3705,650000,1690.0,98133
3715,1772500,4650.0,98040
3716,1629000,3130.0,98040
3719,2624530,4240.0,98040
3721,750000,1640.0,98144
3722,587250,1200.0,98144
3724,520000,980.0,98144
3728,830000,1780.0,98144
3729,825000,1780.0,98144
3730,480000,720.0,98144
3734,1425000,2760.0,98199
3736,1310000,2300.0,98199
3738,1695000,3610.0,98199
3741,1725000,2530.0,98199
3745,268000,1480.0,98198
3750,1100000,5670.0,98117
3751,948000,1810.0,98117
3756,1399950,2690.0,98117
3759,757000,1620.0,98117
3760,1035086,2630.0,98117
3762,990000,1960.0,98117
3766,1410000,3220.0,98117
3767,829000,1390.0,98117
3769,970000,2820.0,98117
3773,1850000,2820.0,98117
3780,1420000,2110.0,98199
3781,1615000,3400.0,98199
3783,725000,1430.0,98199
3787,1910000,3190.0,98199
3799,470000,2720.0,98030
3800,491000,2490.0,98030
3826,895000,4620.0,98023
3871,725000,1500.0,98144
3872,715000,1590.0,98144
3876,680000,1760.0,98144
3885,420000,860.0,98118
3887,385000,780.0,98118
3900,412000,1600.0,98118
3901,453000,1170.0,98118
3902,472000,1230.0,98118
3906,425000,720.0,98118
3907,335000,1110.0,98118
3908,250000,640.0,98118
3913,760000,1620.0,98144
3921,640000,2950.0,98166
3923,1200000,3180.0,98166
3928,459000,1310.0,98166
3929,755000,2520.0,98166
3932,355000,3210.0,98022
3933,615000,2640.0,98092
3939,425000,2510.0,98003
3940,525000,2800.0,98023
3941,310000,1760.0,98023
3945,600000,1110.0,98042
3947,450000,1280.0,98042
3949,450000,1250.0,98042
3950,505000,2470.0,98042
3952,332000,1260.0,98042
3956,395000,1300.0,98042
3958,349500,1040.0,98042
3962,400000,1310.0,98042
3963,383000,1270.0,98042
3969,495000,2000.0,98042
3984,1750000,4290.0,98166
3993,635000,2570.0,98166
3996,570000,2498.0,98031
4001,800000,5060.0,98031
4007,570000,1990.0,98058
4008,600000,2080.0,98058
4010,262500,1920.0,98058
4012,490000,1780.0,98058
4014,900000,2580.0,98058
4018,312000,1180.0,98038
4020,655000,2270.0,98072
4021,740000,2520.0,98072
4024,726000,1760.0,98072
4030,542500,2660.0,98106
4034,405000,830.0,98146
